feature,c,n_exempt,n_over_per_token,total_excess
3272,0.5,43,0.00048828125,1.3068666458129883
3272,1.0,43,0.001708984375,6.1204423904418945
3272,1.5,43,0.00244140625,21.759082794189453
3272,2.0,43,0.002685546875,43.15839385986328
3272,3.0,43,0.014404296875,140.1341552734375
16355,0.5,16,0.000244140625,0.401519775390625
16355,1.0,16,0.000244140625,0.8030738830566406
16355,1.5,16,0.000732421875,1.8922882080078125
16355,2.0,16,0.001220703125,5.682991027832031
16355,3.0,16,0.002197265625,19.314102172851562
14434,0.5,23,0.001708984375,6.180136680603027
14434,1.0,23,0.0029296875,20.602310180664062
14434,1.5,23,0.00439453125,44.19256591796875
14434,2.0,23,0.005615234375,76.04452514648438
14434,3.0,23,0.00927734375,163.5116729736328
8925,0.5,41,0.0,0.0
8925,1.0,41,0.000244140625,0.42441558837890625
8925,1.5,41,0.000732421875,2.6473608016967773
8925,2.0,41,0.001220703125,8.31714153289795
8925,3.0,41,0.003173828125,26.825092315673828
23860,0.5,36,0.000732421875,0.7623157501220703
23860,1.0,36,0.001220703125,2.643463134765625
23860,1.5,36,0.001708984375,10.790510177612305
23860,2.0,36,0.002685546875,21.985702514648438
23860,3.0,36,0.0048828125,60.90727233886719
5843,0.5,24,0.000732421875,0.8904685974121094
5843,1.0,24,0.0009765625,2.1510162353515625
5843,1.5,24,0.0009765625,3.414274215698242
5843,2.0,24,0.001953125,5.772977828979492
5843,3.0,24,0.003173828125,15.941153526306152
13094,0.5,47,0.000244140625,0.7267646789550781
13094,1.0,47,0.00146484375,5.623785018920898
13094,1.5,47,0.001708984375,16.651193618774414
13094,2.0,47,0.001953125,28.748498916625977
13094,3.0,47,0.003662109375,59.5519905090332
7998,0.5,22,0.00146484375,4.787176132202148
7998,1.0,22,0.0029296875,16.076520919799805
7998,1.5,22,0.00390625,35.50986099243164
7998,2.0,22,0.005126953125,64.62268829345703
7998,3.0,22,0.009033203125,160.4645538330078
15503,0.5,54,0.006103515625,8.696211814880371
15503,1.0,54,0.01416015625,49.159889221191406
15503,1.5,54,0.02880859375,137.36424255371094
15503,2.0,54,0.099365234375,313.0071716308594
15503,3.0,54,0.381103515625,1460.0599365234375
4151,0.5,32,0.000244140625,0.7471466064453125
4151,1.0,32,0.00048828125,1.817854881286621
4151,1.5,32,0.001708984375,5.548609733581543
4151,2.0,32,0.00390625,17.918392181396484
4151,3.0,32,0.008056640625,68.9285659790039
17590,0.5,23,0.001953125,0.8842897415161133
17590,1.0,23,0.001953125,1.81402587890625
17590,1.5,23,0.002685546875,3.257336139678955
17590,2.0,23,0.003173828125,6.613295555114746
17590,3.0,23,0.009521484375,28.604284286499023
835,0.5,41,0.000244140625,0.42185211181640625
835,1.0,41,0.000244140625,1.0293807983398438
835,1.5,41,0.000244140625,1.6369705200195312
835,2.0,41,0.0009765625,5.0211944580078125
835,3.0,41,0.001708984375,18.405412673950195
